Experience,Reward0
1,-12.0
2,4.8999999999999995
3,-11.0
4,4.600000000000001
5,4.7
6,3.600000000000003
7,4.300000000000001
8,-13.9
9,4.100000000000001
10,-12.0
11,-15.2
12,-11.0
13,3.400000000000004
14,-11.0
15,5.699999999999999
16,4.4
17,-14.200000000000001
18,6.199999999999999
19,4.4
20,5.3
21,-17.1
22,-15.6
23,-11.0
24,6.3
25,5.1
26,-11.0
27,-11.0
28,-11.0
29,-11.0
30,-11.0
31,-11.0
32,-18.000000000000004
33,5.5
34,-11.0
35,4.200000000000001
36,4.7
37,5.3
38,6.3
39,-11.0
40,-15.0
41,5.4
42,-11.0
43,4.8
44,-11.0
45,3.700000000000003
46,6.1
47,-19.000000000000004
48,5.5
49,-18.7
50,6.3
