Experience,Reward5,EndTime,NbBumps,EndStatus
1,-0.1999999999999904,52,5,1
2,-0.1999999999999904,52,5,1
3,7.8999999999999995,11,1,1
4,1.0000000000000089,50,4,1
5,-20.39999999999999,54,5,-1
6,4.699999999999999,23,3,1
7,5.1,19,3,1
8,3.8000000000000034,32,3,1
9,5.299999999999999,17,3,1
10,3.100000000000005,39,3,1
11,3.700000000000001,23,4,1
12,2.3000000000000043,37,5,1
13,7.9,11,1,1
14,-2.499999999999986,65,6,1
15,-0.8999999999999879,59,5,1
16,6.099999999999999,19,2,1
17,1.0000000000000053,40,5,1
18,6.8,12,2,1
19,-5.399999999999986,64,9,1
20,1.4000000000000057,36,5,1
21,-2.2999999999999865,63,6,1
22,3.2000000000000055,38,4,1
23,-0.5999999999999925,46,6,1
24,8.5,5,1,1
25,5.1,19,3,1
26,8.9,1,1,1
27,2.1,62,4,1
28,0.10000000000000675,49,5,1
29,-11.2,2,1,-1
30,3.0000000000000053,40,3,1
31,3.600000000000004,34,3,1
32,0.9000000000000057,41,5,1
33,5.6,14,3,1
34,8.0,10,2,1
35,7.6000000000000005,14,2,1
36,-0.3999999999999915,54,5,1
37,6.699999999999999,13,2,1
38,2.2000000000000046,28,5,1
39,-1.0999999999999908,51,6,1
40,-3.8999999999999844,69,7,1
41,4.8999999999999995,21,3,1
42,3.600000000000003,34,4,1
43,0.40000000000000746,46,5,1
44,4.699999999999999,23,3,1
45,-2.3999999999999844,64,6,1
46,6.8999999999999995,11,2,1
47,4.100000000000001,29,3,1
48,6.3999999999999995,16,2,1
49,2.2000000000000046,38,4,1
50,8.8,2,1,1
