Experience,Reward
1,-12.0
2,-12.0
3,6.299999999999999
4,-11.0
5,-11.0
6,4.799999999999999
7,-12.0
8,-12.0
9,8.0
10,-12.0
11,5.6
12,-12.0
13,9.9
14,-12.0
15,-12.0
16,-13.0
17,-11.0
18,3.500000000000001
19,4.6
20,-12.0
21,-12.0
22,-11.0
23,-11.0
24,-11.5
25,-11.0
26,8.8
27,-15.7
28,-12.0
29,-11.1
30,-11.0
31,-12.0
32,-12.0
33,8.4
34,-12.0
35,3.0000000000000018
36,-12.0
37,-13.5
38,3.400000000000004
39,-12.0
40,6.1
41,-12.0
42,-12.0
43,-12.0
44,-11.0
45,-12.0
46,-11.6
47,7.1
48,6.299999999999999
49,-11.0
50,-11.299999999999999
